node_id	parent_id	mutations
ROOT	ROOT	
1	ROOT	mut0,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut9,mut10,mut11,mut12,mut13,mut14,mut17,mut18,mut19,mut23,mut25,mut26,mut29,mut30,mut31,mut32,mut33,mut35,mut36,mut40,mut41,mut42,mut43,mut44,mut45,mut46,mut47,mut49,mut51,mut53,mut54,mut55,mut56,mut57,mut58,mut59,mut60,mut61,mut62,mut63,mut64,mut67,mut68,mut70,mut72,mut73,mut74,mut75,mut76,mut77,mut79,mut81,mut83,mut84,mut85,mut86,mut87,mut89,mut91,mut92,mut93,mut94,mut95,mut96,mut97,mut98,mut99,mut100,mut102,mut103,mut104,mut105,mut107,mut108,mut109,mut110,mut111,mut112,mut114,mut115,mut116,mut117,mut118,mut119,mut121,mut122,mut123,mut124,mut126,mut127,mut130,mut131,mut133,mut134,mut135,mut136,mut137,mut138,mut139,mut140,mut141,mut142,mut145,mut146,mut147,mut149,mut150,mut151,mut152,mut153,mut154,mut155,mut156,mut157,mut158,mut159,mut160,mut161,mut162,mut163,mut164,mut165,mut166,mut167,mut168,mut169,mut171,mut172,mut173,mut175,mut176,mut177,mut178,mut180,mut181,mut184,mut187,mut188,mut189,mut190,mut192,mut193,mut194,mut195,mut196,mut198,mut199,mut200,mut201,mut206,mut207,mut212,mut213,mut214,mut216,mut219,mut221,mut224,mut225,mut227,mut228,mut229,mut231,mut232,mut233,mut234,mut235,mut236,mut239,mut240,mut241,mut242,mut243,mut244,mut245,mut246,mut247,mut248,mut249,mut250,mut251,mut252,mut253,mut254,mut255,mut256,mut257,mut258,mut260,mut261,mut262,mut263,mut264,mut265,mut266,mut268,mut269,mut270,mut271,mut272,mut274,mut276,mut277,mut280,mut281,mut282,mut283,mut284,mut285,mut286,mut287,mut288,mut290,mut291,mut292,mut293,mut295,mut296,mut297,mut298,mut299,mut300,mut301,mut302,mut303,mut306,mut307,mut308,mut309,mut310,mut311,mut312,mut315,mut317,mut319,mut320,mut321,mut323,mut325,mut326,mut327,mut328,mut329,mut330,mut332,mut333,mut334,mut335,mut336,mut337,mut338,mut339,mut340,mut341,mut342,mut344,mut345,mut346,mut347,mut348,mut350,mut352,mut353,mut354,mut355,mut356,mut357,mut358,mut359,mut360,mut361,mut362,mut363,mut364,mut365,mut367,mut368,mut369,mut370,mut371,mut372,mut373,mut374,mut375,mut377,mut378,mut379,mut380,mut381,mut382,mut383,mut384,mut385,mut386,mut388,mut389,mut390,mut391,mut392,mut393,mut394,mut395,mut398,mut399,mut400,mut401,mut403,mut404,mut406,mut407,mut408,mut409,mut410,mut411,mut412,mut413,mut414,mut416,mut417,mut419,mut421,mut422,mut424,mut425,mut426,mut427,mut428,mut429,mut430,mut431,mut432,mut433,mut435,mut436,mut437,mut438,mut439,mut441,mut442,mut443,mut444,mut446,mut447,mut448,mut449,mut450,mut451,mut452,mut453,mut454,mut456,mut457,mut458,mut459,mut460,mut461,mut462,mut464,mut465,mut467,mut469,mut470,mut472,mut473,mut474,mut475,mut476,mut477,mut478,mut479,mut480,mut481,mut483,mut485,mut486,mut487,mut488,mut490,mut491,mut493,mut495,mut496,mut497,mut498,mut499,mut500,mut503,mut504,mut505,mut506,mut507,mut508,mut510,mut511,mut512,mut513,mut514,mut516,mut517,mut518,mut519,mut520,mut521,mut523,mut524,mut525,mut526,mut527,mut528,mut529,mut530,mut531,mut532,mut533,mut534,mut535,mut536,mut537,mut539,mut540,mut542,mut543,mut545,mut546,mut547,mut548,mut549,mut551,mut552,mut553,mut554,mut555,mut556,mut557,mut558,mut559,mut560,mut562,mut563,mut564,mut565,mut566,mut568,mut569,mut570,mut573,mut574,mut576,mut577,mut579,mut580,mut581,mut583,mut584,mut585,mut586,mut587,mut588,mut589,mut590,mut591,mut592,mut594,mut595,mut596,mut597,mut598,mut599,mut600,mut601,mut602,mut604,mut605,mut606,mut607,mut610,mut611,mut612,mut613,mut614,mut616,mut617,mut618,mut619,mut620,mut621,mut624,mut626,mut627,mut628,mut629,mut630,mut631,mut632,mut634,mut635,mut636,mut637,mut638,mut639,mut640,mut642,mut643,mut645,mut647,mut650,mut651,mut652,mut654,mut655,mut656,mut658,mut659,mut660,mut662,mut664,mut665,mut666,mut667,mut668,mut669,mut670,mut672,mut673,mut675,mut678,mut679,mut680,mut681,mut682,mut683,mut684,mut687,mut688,mut689,mut691,mut692,mut695,mut697,mut698,mut699,mut700,mut701,mut702,mut704,mut705,mut706,mut707,mut709,mut710,mut711,mut713,mut714,mut715,mut716,mut717,mut718,mut719,mut720,mut722,mut724,mut727,mut728,mut730,mut731,mut734,mut735,mut737,mut738,mut739,mut740,mut742,mut743,mut744,mut746,mut747,mut748,mut749,mut750,mut752,mut753,mut754,mut755,mut756,mut757,mut758,mut759,mut760,mut761,mut764,mut765,mut766,mut767,mut768,mut770,mut772,mut773,mut774,mut776,mut777,mut778,mut779,mut780,mut782,mut783,mut784,mut785,mut788,mut789,mut790,mut792,mut793,mut794,mut795,mut797,mut801
3	ROOT	mut15,mut20,mut34,mut65,mut80,mut191,mut220,mut222,mut223,mut237,mut273,mut305,mut415,mut455,mut482,mut501,mut661,mut712,mut721,mut791
4	ROOT	mut21,mut38,mut48,mut50,mut52,mut78,mut90,mut125,mut197,mut259,mut316,mut468,mut561,mut571,mut578,mut623,mut657,mut690,mut745
7	1	mut27,mut37,mut82,mut129,mut210,mut211,mut226,mut267,mut445,mut515,mut644,mut674,mut677,mut694,mut787
8	7	mut22,mut69,mut148,mut170,mut278,mut349,mut575,mut646,mut693,mut736,mut762,mut771,mut781,mut800
9	1	mut113,mut294,mut324,mut397,mut402,mut440,mut663,mut696,mut775,mut786,mut799
10	1	mut120,mut132,mut143,mut203,mut331,mut494,mut593,mut633,mut653,mut685,mut769
15	1	mut71,mut179,mut202,mut209,mut218,mut343,mut567,mut609
13	15	mut39,mut106,mut182,mut289,mut314,mut322,mut544,mut625,mut741
6	15	mut144,mut183,mut204,mut208,mut279,mut304,mut423,mut608,mut615,mut649,mut671,mut676,mut726,mut732,mut763,mut796
5	15	mut174,mut275,mut313,mut318,mut351,mut366,mut405,mut418,mut502,mut522,mut541,mut582,mut603,mut641,mut733,mut798
12	5	mut16,mut185,mut215,mut572,mut622,mut648,mut723,mut729,mut751
2	15	mut8,mut24,mut88,mut101,mut186,mut205,mut217,mut230,mut387,mut396,mut420,mut434,mut471,mut489,mut492,mut509,mut550,mut703,mut708,mut725
17	1	mut28,mut66,mut128,mut238,mut376
19	ROOT	mut463,mut466,mut484,mut538,mut686
