node_id	parent_id	mutations
ROOT	ROOT	
1	ROOT	mut0,mut1,mut7,mut10,mut11,mut15,mut16,mut21,mut23,mut26,mut31,mut33,mut35,mut37,mut38,mut41,mut46,mut47,mut49,mut50,mut51,mut52,mut53,mut56,mut57,mut58,mut59,mut62,mut67,mut68,mut69,mut74,mut80,mut82,mut83,mut88,mut89,mut91,mut94,mut97,mut98,mut99,mut100,mut106,mut107,mut111,mut114,mut115,mut116,mut117,mut121,mut122,mut123,mut125,mut134,mut135,mut137,mut143,mut144,mut145,mut150,mut152,mut153,mut155,mut156,mut160,mut162,mut166,mut168,mut170,mut173,mut175,mut177,mut181,mut185,mut187,mut188,mut193,mut194,mut196,mut197,mut198,mut204,mut207,mut208,mut210,mut211,mut212,mut213,mut214,mut215,mut218,mut221,mut222,mut225,mut227,mut229,mut230,mut234,mut235,mut236,mut238,mut239,mut241,mut242,mut245,mut248,mut255,mut258,mut259,mut260,mut261,mut265,mut266,mut267,mut268,mut270,mut271,mut272,mut273,mut274,mut275,mut276,mut277,mut278,mut279,mut283,mut284,mut287,mut288,mut289,mut290,mut291,mut293,mut294,mut295,mut297,mut301,mut302,mut303,mut305,mut311,mut312,mut315,mut316,mut317,mut318,mut321,mut322,mut323,mut324,mut327,mut328,mut329,mut330,mut331,mut333,mut338,mut339,mut348,mut352,mut355,mut356,mut357,mut358,mut360,mut362,mut367,mut368,mut371,mut372,mut376,mut377,mut378,mut379,mut380,mut382,mut384,mut386,mut387,mut388,mut389,mut390,mut393,mut394,mut396,mut397,mut398,mut399,mut400,mut401,mut402,mut405,mut408,mut410,mut413,mut414,mut415,mut416,mut420,mut421,mut423,mut424,mut425,mut426,mut429,mut430,mut432,mut435,mut436,mut439,mut440,mut443,mut445,mut446,mut447,mut448,mut449,mut451,mut452,mut453,mut455,mut456,mut457,mut459,mut461,mut463,mut467,mut469,mut472,mut473,mut475,mut477,mut478,mut479,mut480,mut484,mut487,mut492,mut498,mut499,mut500,mut502,mut504,mut507,mut508,mut509,mut510,mut512,mut514,mut515,mut517,mut518,mut519,mut520,mut521,mut523,mut524,mut528,mut529,mut531,mut532,mut538,mut539,mut540,mut542,mut544,mut546,mut547,mut550,mut551,mut552,mut553,mut554,mut555,mut563,mut566,mut568,mut569,mut570,mut573,mut574,mut575,mut576,mut577,mut578,mut579,mut582,mut583,mut585,mut586,mut588,mut589,mut590,mut591,mut593,mut594,mut595,mut599,mut601,mut602,mut610,mut612,mut615,mut617,mut619,mut620,mut622,mut626,mut627,mut630,mut633,mut634,mut635,mut636,mut637,mut640,mut641,mut642,mut643,mut644,mut645,mut646,mut647,mut650,mut651,mut653,mut656,mut660,mut661,mut662,mut663,mut665,mut669,mut670,mut671,mut672,mut674,mut676,mut679,mut680,mut681,mut685,mut693,mut696,mut702,mut704,mut705,mut708,mut709,mut711,mut712,mut713,mut717,mut718,mut722,mut723,mut724,mut730,mut732,mut733,mut734,mut739,mut740,mut741,mut743,mut748,mut749,mut750,mut751,mut752,mut753,mut754,mut755,mut758,mut759,mut760,mut762,mut764,mut766,mut771,mut772,mut773,mut776,mut778,mut779,mut780,mut782,mut784,mut787,mut791,mut794,mut796,mut797,mut798,mut799,mut802,mut805,mut809,mut810,mut812,mut814,mut815,mut816,mut817,mut818,mut819,mut820,mut823,mut824,mut833,mut834,mut835,mut838,mut841,mut843,mut845,mut846,mut849,mut850,mut852,mut853,mut855,mut857,mut859,mut860,mut862,mut864,mut867,mut870,mut871,mut872,mut875,mut878,mut880,mut882,mut889,mut890,mut891,mut892,mut893,mut895,mut896,mut897,mut898,mut899,mut901,mut903,mut904,mut905,mut911,mut915,mut916,mut917,mut921,mut922,mut923,mut924,mut925,mut927,mut929,mut930,mut933,mut934,mut938,mut940,mut944,mut945,mut946,mut949,mut950,mut952,mut953,mut954,mut955,mut956,mut957,mut958,mut965,mut966,mut967,mut971,mut974,mut977,mut978,mut979,mut982,mut984,mut985,mut986,mut987,mut989,mut990,mut991,mut996,mut998,mut999,mut1000,mut1003,mut1004,mut1006,mut1007,mut1008,mut1009,mut1010,mut1011,mut1012,mut1013,mut1014,mut1015,mut1016,mut1017,mut1018,mut1019,mut1021,mut1022,mut1023,mut1024,mut1025,mut1027,mut1030,mut1033,mut1034,mut1037,mut1038,mut1040,mut1042,mut1045,mut1047,mut1052,mut1053,mut1056,mut1062,mut1066,mut1069,mut1072,mut1074,mut1075,mut1079,mut1080,mut1081,mut1083,mut1084,mut1086,mut1087,mut1088,mut1089,mut1090,mut1091,mut1092,mut1093,mut1094,mut1097,mut1100,mut1101,mut1102,mut1103,mut1104,mut1105,mut1106,mut1108,mut1117,mut1118,mut1120,mut1122,mut1126,mut1127,mut1131,mut1135,mut1139,mut1141,mut1147,mut1154,mut1156,mut1159,mut1162,mut1174,mut1183,mut1185,mut1187,mut1189,mut1190,mut1193,mut1194,mut1195,mut1198,mut1201,mut1202,mut1204,mut1207,mut1209,mut1211,mut1214,mut1218,mut1221,mut1222,mut1226,mut1228,mut1229,mut1231,mut1232,mut1233,mut1234,mut1237,mut1242,mut1246,mut1247,mut1250,mut1251,mut1254,mut1257,mut1263,mut1264,mut1265,mut1266,mut1267,mut1270,mut1272,mut1274,mut1275,mut1276,mut1277,mut1280,mut1281,mut1282,mut1284,mut1285,mut1286,mut1288,mut1289,mut1290,mut1291,mut1292,mut1294,mut1295,mut1297,mut1298,mut1301,mut1303,mut1305,mut1308,mut1309,mut1310,mut1313,mut1314,mut1316,mut1319,mut1323,mut1324,mut1325,mut1326,mut1328,mut1330,mut1331,mut1336,mut1338,mut1340,mut1341,mut1343,mut1344,mut1345,mut1351,mut1356,mut1357,mut1358,mut1360,mut1362,mut1363,mut1364,mut1365,mut1366,mut1369,mut1371,mut1373,mut1374,mut1375,mut1378,mut1379,mut1380,mut1382,mut1383,mut1385,mut1386,mut1387,mut1388,mut1389,mut1390,mut1392,mut1395,mut1400,mut1402,mut1404,mut1405,mut1408,mut1409,mut1412,mut1414,mut1415,mut1416,mut1417,mut1418,mut1419,mut1421,mut1429,mut1430,mut1431,mut1432,mut1434,mut1444,mut1446
2	1	mut3,mut5,mut13,mut14,mut22,mut24,mut25,mut27,mut39,mut42,mut60,mut61,mut66,mut70,mut72,mut73,mut78,mut79,mut85,mut86,mut93,mut103,mut104,mut109,mut112,mut119,mut124,mut126,mut128,mut138,mut148,mut151,mut154,mut161,mut163,mut167,mut171,mut178,mut182,mut183,mut186,mut189,mut190,mut192,mut195,mut199,mut201,mut202,mut206,mut216,mut224,mut237,mut244,mut251,mut252,mut254,mut257,mut263,mut269,mut281,mut285,mut286,mut292,mut299,mut304,mut307,mut308,mut309,mut320,mut326,mut337,mut341,mut344,mut345,mut351,mut361,mut366,mut369,mut374,mut375,mut391,mut406,mut407,mut409,mut419,mut422,mut427,mut433,mut434,mut438,mut444,mut465,mut466,mut470,mut483,mut493,mut494,mut496,mut501,mut503,mut511,mut530,mut534,mut536,mut543,mut558,mut561,mut564,mut567,mut571,mut572,mut581,mut587,mut597,mut603,mut605,mut608,mut609,mut618,mut624,mut638,mut639,mut649,mut673,mut675,mut683,mut688,mut695,mut697,mut698,mut699,mut715,mut716,mut728,mut737,mut738,mut742,mut744,mut745,mut761,mut763,mut768,mut774,mut781,mut786,mut789,mut795,mut800,mut811,mut821,mut837,mut839,mut840,mut842,mut844,mut847,mut848,mut851,mut858,mut861,mut865,mut873,mut874,mut876,mut877,mut884,mut888,mut914,mut918,mut920,mut931,mut941,mut942,mut960,mut961,mut963,mut969,mut972,mut992,mut1002,mut1020,mut1028,mut1031,mut1035,mut1043,mut1046,mut1050,mut1051,mut1054,mut1057,mut1059,mut1060,mut1061,mut1064,mut1067,mut1068,mut1070,mut1073,mut1077,mut1085,mut1099,mut1107,mut1113,mut1115,mut1121,mut1128,mut1130,mut1136,mut1138,mut1140,mut1142,mut1144,mut1151,mut1152,mut1164,mut1165,mut1166,mut1167,mut1168,mut1169,mut1170,mut1173,mut1175,mut1176,mut1179,mut1180,mut1182,mut1186,mut1188,mut1191,mut1196,mut1213,mut1220,mut1223,mut1224,mut1230,mut1240,mut1245,mut1258,mut1260,mut1261,mut1268,mut1269,mut1278,mut1296,mut1302,mut1306,mut1327,mut1332,mut1335,mut1337,mut1339,mut1342,mut1348,mut1350,mut1354,mut1370,mut1372,mut1384,mut1391,mut1393,mut1398,mut1399,mut1411,mut1420,mut1422,mut1424,mut1426,mut1433,mut1437,mut1441,mut1445
3	ROOT	mut28,mut75,mut87,mut110,mut130,mut136,mut172,mut180,mut184,mut219,mut226,mut246,mut250,mut262,mut282,mut306,mut314,mut334,mut343,mut353,mut383,mut395,mut403,mut418,mut428,mut437,mut462,mut468,mut476,mut513,mut545,mut600,mut611,mut652,mut666,mut692,mut694,mut703,mut719,mut726,mut729,mut747,mut767,mut775,mut825,mut827,mut831,mut866,mut881,mut894,mut910,mut926,mut937,mut939,mut962,mut980,mut983,mut988,mut995,mut1039,mut1058,mut1065,mut1071,mut1095,mut1111,mut1129,mut1158,mut1172,mut1177,mut1178,mut1200,mut1205,mut1208,mut1215,mut1235,mut1239,mut1299,mut1353,mut1394,mut1397,mut1423,mut1442
4	1	mut6,mut12,mut18,mut34,mut63,mut71,mut90,mut95,mut142,mut179,mut233,mut264,mut298,mut335,mut346,mut349,mut363,mut365,mut392,mut442,mut464,mut488,mut506,mut522,mut526,mut537,mut549,mut565,mut621,mut632,mut655,mut659,mut735,mut783,mut785,mut854,mut856,mut869,mut902,mut906,mut907,mut947,mut968,mut1096,mut1123,mut1171,mut1181,mut1216,mut1225,mut1236,mut1243,mut1244,mut1249,mut1307,mut1312,mut1317,mut1333,mut1334,mut1347,mut1413
5	1	mut8,mut20,mut29,mut36,mut81,mut101,mut131,mut140,mut157,mut165,mut217,mut240,mut280,mut310,mut325,mut340,mut411,mut458,mut471,mut485,mut490,mut505,mut516,mut527,mut562,mut584,mut592,mut631,mut682,mut756,mut777,mut790,mut792,mut806,mut836,mut883,mut885,mut908,mut909,mut913,mut970,mut975,mut1029,mut1078,mut1082,mut1134,mut1149,mut1153,mut1161,mut1197,mut1248,mut1252,mut1315,mut1349,mut1377,mut1427,mut1436,mut1438
7	1	mut84,mut108,mut113,mut118,mut120,mut129,mut132,mut133,mut139,mut149,mut169,mut200,mut203,mut220,mut256,mut296,mut359,mut431,mut491,mut533,mut625,mut664,mut668,mut721,mut757,mut788,mut808,mut830,mut935,mut936,mut1001,mut1109,mut1116,mut1119,mut1124,mut1132,mut1146,mut1150,mut1157,mut1256,mut1287,mut1318,mut1321,mut1346,mut1376,mut1406,mut1407,mut1428,mut1443
8	4	mut2,mut4,mut19,mut32,mut54,mut55,mut127,mut146,mut147,mut164,mut247,mut313,mut336,mut350,mut354,mut385,mut454,mut460,mut495,mut548,mut559,mut598,mut628,mut654,mut677,mut690,mut710,mut765,mut807,mut813,mut822,mut900,mut912,mut943,mut959,mut976,mut981,mut993,mut997,mut1041,mut1048,mut1049,mut1098,mut1110,mut1112,mut1137,mut1155,mut1163,mut1184,mut1192,mut1262,mut1322,mut1352,mut1355,mut1359,mut1361,mut1367,mut1401,mut1410
9	1	mut30,mut43,mut76,mut77,mut159,mut223,mut232,mut342,mut347,mut364,mut481,mut525,mut535,mut613,mut701,mut725,mut736,mut801,mut829,mut863,mut919,mut948,mut951,mut964,mut1005,mut1114,mut1160,mut1217,mut1219,mut1241,mut1253,mut1259,mut1273,mut1279,mut1320,mut1440
10	1	mut64,mut105,mut404,mut441,mut667,mut684,mut687,mut689,mut691,mut1026
