node_id	parent_id	mutations
ROOT	ROOT	
3	ROOT	mut5,mut6,mut7,mut8,mut11,mut17,mut27,mut32,mut43,mut48,mut49,mut51,mut59,mut62,mut66,mut73,mut74,mut76,mut78,mut79,mut82,mut84,mut93,mut94,mut95,mut96,mut98,mut120,mut125,mut130,mut132,mut136,mut139,mut146,mut153,mut157,mut161,mut163,mut172,mut173,mut174,mut176,mut179,mut187,mut188,mut191,mut208,mut211,mut213,mut224,mut226,mut229,mut230,mut231,mut232,mut235,mut240,mut244,mut255,mut257,mut259,mut280,mut286,mut289,mut294,mut296,mut301,mut302,mut305,mut312,mut313,mut317,mut332,mut335,mut337,mut343,mut351,mut356,mut361,mut364,mut365,mut385,mut403,mut405,mut417,mut423,mut426,mut429,mut432,mut433,mut437,mut438,mut439,mut444,mut445,mut446,mut455,mut464,mut470
4	ROOT	mut10,mut13,mut16,mut22,mut47,mut60,mut64,mut69,mut97,mut111,mut112,mut118,mut121,mut134,mut144,mut151,mut155,mut164,mut171,mut184,mut192,mut195,mut215,mut228,mut268,mut297,mut298,mut300,mut303,mut350,mut370,mut381,mut382,mut387,mut388,mut389,mut412,mut414,mut415,mut430,mut465,mut467,mut473
5	ROOT	mut2,mut30,mut41,mut56,mut77,mut85,mut89,mut99,mut101,mut109,mut115,mut124,mut185,mut194,mut233,mut246,mut252,mut265,mut269,mut271,mut272,mut306,mut318,mut346,mut394,mut397,mut402,mut408,mut409,mut420,mut422,mut449,mut454,mut468
6	4	mut44,mut55,mut110,mut142,mut190,mut207,mut241,mut260,mut283,mut292,mut309,mut329,mut341,mut374,mut375,mut404,mut427,mut457
8	6	mut1,mut25,mut35,mut38,mut104,mut107,mut117,mut166,mut198,mut238,mut293,mut384,mut393,mut416,mut424,mut458,mut462
9	4	mut4,mut14,mut15,mut19,mut57,mut141,mut181,mut299,mut327,mut359,mut443,mut475
2	9	mut3,mut21,mut23,mut28,mut33,mut34,mut61,mut63,mut67,mut68,mut72,mut83,mut86,mut87,mut91,mut106,mut108,mut116,mut119,mut123,mut128,mut129,mut133,mut138,mut148,mut149,mut152,mut159,mut160,mut168,mut170,mut177,mut182,mut183,mut186,mut193,mut196,mut197,mut199,mut201,mut202,mut203,mut210,mut218,mut220,mut223,mut227,mut234,mut236,mut242,mut243,mut245,mut249,mut251,mut254,mut256,mut258,mut261,mut262,mut270,mut274,mut275,mut284,mut285,mut304,mut307,mut308,mut310,mut323,mut324,mut334,mut339,mut340,mut345,mut348,mut357,mut362,mut363,mut366,mut368,mut371,mut372,mut373,mut376,mut378,mut386,mut392,mut395,mut401,mut406,mut410,mut411,mut421,mut425,mut434,mut436,mut448,mut450,mut461,mut466,mut471,mut477
1	9	mut0,mut9,mut12,mut18,mut20,mut24,mut26,mut29,mut39,mut40,mut46,mut52,mut53,mut54,mut58,mut71,mut75,mut80,mut81,mut88,mut100,mut102,mut103,mut105,mut113,mut122,mut126,mut127,mut131,mut135,mut143,mut154,mut156,mut167,mut169,mut178,mut180,mut189,mut204,mut205,mut209,mut212,mut214,mut216,mut217,mut222,mut225,mut237,mut239,mut247,mut248,mut250,mut253,mut264,mut266,mut267,mut276,mut277,mut278,mut279,mut281,mut282,mut287,mut288,mut290,mut291,mut295,mut311,mut314,mut315,mut316,mut319,mut320,mut321,mut322,mut325,mut326,mut328,mut331,mut333,mut336,mut344,mut349,mut352,mut354,mut358,mut367,mut369,mut379,mut383,mut390,mut391,mut396,mut398,mut399,mut400,mut407,mut413,mut418,mut428,mut431,mut435,mut440,mut441,mut442,mut447,mut451,mut452,mut453,mut456,mut459,mut463,mut469,mut472,mut474
7	1	mut36,mut37,mut45,mut65,mut70,mut92,mut137,mut140,mut147,mut150,mut158,mut165,mut273,mut342,mut353,mut355,mut360
11	ROOT	mut114,mut219,mut330,mut460,mut476
12	ROOT	mut31,mut50,mut175,mut200,mut338
13	2	mut42,mut90,mut145,mut206,mut263
10	13	mut162,mut221,mut347,mut377,mut380,mut419
