node_id	parent_id	labels
1	ROOT	mut7,mut10,mut13,mut15,mut16,mut19,mut22,mut23,mut25,mut30,mut33,mut35,mut39,mut42,mut43,mut51,mut56,mut58,mut63,mut67,mut70,mut72,mut77,mut79,mut84,mut85,mut87,mut91,mut92,mut93,mut94,mut97,mut99,mut100,mut110,mut112,mut116,mut118,mut119,mut120,mut121,mut122,mut124,mut125,mut128,mut130,mut134,mut135,mut138,mut141,mut150,mut155,mut156,mut161,mut163,mut165,mut166,mut167,mut170,mut172,mut173,mut175,mut176,mut177,mut178,mut180,mut181,mut184,mut185,mut189,mut190,mut191,mut192,mut193,mut195,mut196,mut200,mut203,mut205,mut208,mut210,mut212,mut214,mut218,mut219,mut220,mut222,mut225,mut229,mut230,mut233,mut234,mut237,mut241,mut248,mut249,mut251,mut252,mut253,mut255,mut259,mut261,mut263,mut274,mut275,mut276,mut278,mut279,mut284,mut286,mut288,mut289,mut297,mut304,mut305,mut312,mut314,mut315,mut316,mut318,mut319,mut320,mut323,mut325,mut329,mut332,mut333,mut334,mut341,mut345,mut346,mut349,mut350,mut351,mut355,mut357,mut361,mut364,mut367,mut368,mut369,mut371,mut372,mut374,mut375,mut376,mut379,mut382,mut383,mut384,mut385,mut386,mut391,mut395,mut397,mut401,mut403,mut407,mut408,mut416,mut417,mut419,mut420,mut424,mut425,mut426,mut428,mut433,mut436,mut437,mut439,mut440,mut443,mut446,mut447,mut448,mut453,mut456,mut457,mut459,mut460,mut461,mut462,mut464,mut465,mut468,mut473,mut474,mut475,mut478,mut479,mut480,mut483,mut488,mut490,mut492,mut500,mut513,mut514,mut517,mut519,mut522,mut523,mut524,mut525,mut528,mut529,mut530,mut532,mut534,mut537,mut539,mut540,mut541,mut548,mut553,mut554,mut556,mut557,mut558,mut559,mut562,mut566,mut567,mut569,mut570,mut573,mut575,mut577,mut578,mut580,mut593,mut596,mut598,mut599,mut605,mut614,mut615,mut617,mut618,mut621,mut625,mut630,mut631,mut632,mut634,mut636,mut637,mut638,mut640,mut642,mut645,mut646,mut648,mut651,mut652,mut653,mut657,mut658,mut659,mut660,mut662,mut663,mut680,mut683,mut687,mut693,mut696,mut697,mut700,mut706,mut707,mut708,mut716,mut717,mut718,mut719,mut720,mut721,mut723,mut725,mut728,mut729,mut730,mut731,mut732,mut733,mut735,mut742,mut743,mut744,mut745,mut749,mut751,mut752,mut753,mut755,mut757,mut761,mut764,mut767,mut768,mut770,mut772,mut775,mut778,mut781,mut783,mut786,mut793,mut796,mut799,mut800,mut801,mut804,mut805,mut808,mut813,mut814,mut821,mut822,mut824,mut825,mut827,mut828,mut829,mut830,mut831,mut833,mut835,mut836,mut838,mut840,mut841,mut843,mut844,mut846,mut849,mut852,mut856,mut860,mut864,mut867,mut871,mut875,mut877,mut883,mut885,mut886,mut887,mut888,mut889,mut892,mut896,mut898,mut909,mut911,mut913,mut918,mut919
2	1	mut20,mut38,mut49,mut54,mut59,mut60,mut62,mut68,mut73,mut82,mut90,mut106,mut107,mut108,mut111,mut114,mut123,mut127,mut129,mut146,mut153,mut157,mut158,mut159,mut162,mut164,mut169,mut171,mut174,mut183,mut186,mut187,mut188,mut211,mut213,mut215,mut217,mut228,mut236,mut243,mut250,mut260,mut262,mut264,mut266,mut280,mut281,mut287,mut298,mut299,mut309,mut313,mut331,mut336,mut338,mut339,mut362,mut363,mut365,mut381,mut396,mut410,mut411,mut412,mut413,mut414,mut415,mut421,mut429,mut431,mut449,mut450,mut454,mut477,mut481,mut482,mut489,mut491,mut495,mut498,mut499,mut503,mut505,mut508,mut511,mut515,mut516,mut518,mut520,mut521,mut527,mut531,mut544,mut547,mut549,mut555,mut601,mut603,mut604,mut606,mut610,mut613,mut647,mut655,mut656,mut661,mut666,mut669,mut686,mut689,mut692,mut699,mut704,mut709,mut712,mut740,mut741,mut748,mut760,mut769,mut785,mut792,mut845,mut854,mut855,mut857,mut858,mut862,mut869,mut873,mut879,mut882,mut891,mut893,mut897,mut903,mut904,mut907,mut914
14	1	mut48,mut50,mut64,mut152,mut204,mut223,mut342,mut352,mut469,mut472,mut543,mut561,mut607,mut739
12	2	mut3,mut47,mut65,mut227,mut285,mut301,mut306,mut317,mut432,mut438,mut507,mut509,mut533,mut794,mut811,mut839
19	12	mut6,mut17,mut75,mut326,mut441,mut564,mut688,mut703,mut826
6	1	mut5,mut32,mut37,mut89,mut145,mut168,mut216,mut226,mut232,mut239,mut293,mut390,mut392,mut394,mut404,mut476,mut493,mut501,mut572,mut574,mut595,mut626,mut633,mut672,mut679,mut837,mut850,mut851,mut865,mut899,mut900
7	1	mut41,mut80,mut139,mut154,mut257,mut273,mut277,mut291,mut302,mut324,mut337,mut388,mut389,mut427,mut435,mut463,mut536,mut560,mut623,mut664,mut668,mut734,mut771,mut798,mut807,mut809,mut842,mut881
9	1	mut44,mut69,mut81,mut105,mut238,mut244,mut272,mut308,mut377,mut378,mut399,mut405,mut409,mut422,mut444,mut484,mut485,mut586,mut747,mut859
18	1	mut0,mut29,mut126,mut300,mut583,mut736,mut763,mut795,mut832
26	1	mut140,mut373,mut393,mut594,mut609,mut678,mut765
