node_id	parent_id	labels
2	ROOT	mut0,mut8,mut15,mut17,mut30,mut41,mut48,mut57,mut58,mut62,mut65,mut70,mut73,mut78,mut85,mut86,mut95,mut96,mut101,mut107,mut110,mut111,mut113,mut119,mut121,mut139,mut148,mut153,mut154,mut156,mut167,mut177,mut184,mut186,mut193,mut195,mut198,mut199,mut201,mut208,mut215,mut219,mut231,mut255,mut258,mut294,mut303,mut308,mut311,mut320,mut322,mut324,mut330,mut345,mut354,mut374,mut380,mut388,mut398,mut401,mut402,mut409,mut411,mut418,mut423,mut430,mut433,mut454,mut455
3	2	mut5,mut26,mut34,mut38,mut45,mut72,mut88,mut102,mut104,mut118,mut122,mut124,mut128,mut129,mut142,mut143,mut146,mut150,mut179,mut180,mut188,mut192,mut200,mut205,mut222,mut225,mut234,mut249,mut250,mut253,mut259,mut273,mut279,mut288,mut314,mut359,mut362,mut389,mut403,mut414,mut416,mut440,mut464
4	2	mut1,mut2,mut12,mut19,mut32,mut35,mut50,mut53,mut54,mut63,mut97,mut106,mut138,mut165,mut174,mut185,mut223,mut229,mut233,mut237,mut238,mut285,mut293,mut306,mut309,mut310,mut316,mut325,mut327,mut329,mut347,mut363,mut366,mut379,mut394,mut400,mut424,mut436,mut437,mut446,mut452,mut463
1	3	mut3,mut4,mut9,mut10,mut11,mut13,mut14,mut16,mut23,mut24,mut25,mut27,mut29,mut36,mut37,mut39,mut40,mut42,mut59,mut61,mut67,mut69,mut76,mut77,mut79,mut80,mut81,mut82,mut84,mut89,mut90,mut92,mut93,mut94,mut98,mut99,mut100,mut108,mut112,mut120,mut123,mut125,mut126,mut127,mut132,mut133,mut135,mut144,mut149,mut151,mut155,mut157,mut158,mut159,mut160,mut161,mut162,mut166,mut168,mut170,mut171,mut172,mut176,mut178,mut189,mut191,mut194,mut196,mut197,mut202,mut203,mut204,mut206,mut210,mut211,mut214,mut218,mut226,mut227,mut230,mut232,mut239,mut241,mut246,mut247,mut251,mut256,mut257,mut260,mut263,mut265,mut267,mut269,mut270,mut271,mut272,mut274,mut275,mut281,mut282,mut283,mut284,mut286,mut289,mut290,mut291,mut292,mut295,mut296,mut300,mut301,mut307,mut312,mut315,mut319,mut321,mut326,mut333,mut334,mut336,mut337,mut338,mut339,mut342,mut343,mut346,mut348,mut351,mut353,mut355,mut356,mut357,mut358,mut360,mut364,mut368,mut371,mut375,mut377,mut378,mut381,mut383,mut384,mut385,mut386,mut390,mut391,mut392,mut396,mut397,mut399,mut404,mut407,mut408,mut412,mut420,mut421,mut425,mut426,mut427,mut428,mut429,mut438,mut439,mut442,mut443,mut444,mut448,mut450,mut451,mut453,mut456,mut457,mut458,mut459,mut460,mut462
11	2	mut31,mut43,mut152,mut216,mut298,mut387
