node_id	parent_id	labels
2	ROOT	mut7,mut9,mut12,mut20,mut26,mut28,mut29,mut31,mut32,mut36,mut37,mut38,mut40,mut41,mut44,mut45,mut52,mut60,mut64,mut73,mut76,mut82,mut84,mut89,mut92,mut95,mut99,mut105,mut110,mut113,mut115,mut117,mut119,mut121,mut124,mut128,mut130,mut144,mut148,mut150,mut152,mut156,mut157,mut161,mut164,mut165,mut170,mut180,mut181,mut186,mut189,mut191,mut192,mut193,mut194,mut204,mut205,mut209,mut210,mut220,mut225,mut227,mut233,mut235,mut236,mut240,mut242,mut248,mut249,mut260,mut261,mut265,mut270,mut272,mut275,mut282,mut284,mut287,mut293,mut300,mut305,mut311,mut314,mut315,mut317,mut318,mut322,mut326,mut327,mut329,mut330,mut331,mut337,mut343,mut348,mut351,mut352,mut353,mut361,mut362,mut364,mut366,mut368,mut370,mut373,mut387,mut391,mut394,mut401,mut402,mut409,mut420,mut421,mut422,mut423,mut424,mut426,mut428,mut430,mut442,mut446,mut454,mut459,mut464,mut467,mut468,mut469,mut471,mut476,mut477,mut478,mut479,mut480,mut483,mut490,mut492,mut494,mut508,mut512,mut526,mut541,mut544,mut549,mut551,mut552,mut564,mut565,mut566,mut567,mut569,mut570,mut571,mut574,mut581,mut582,mut583,mut585,mut586,mut589,mut602,mut607,mut608,mut612,mut613,mut615,mut619,mut621,mut622,mut624,mut627,mut628,mut630,mut634,mut644,mut647,mut658,mut661,mut662,mut663,mut664,mut667,mut669,mut671,mut675,mut678,mut684,mut686,mut690,mut692,mut693,mut696,mut701,mut703,mut707,mut709,mut710,mut719,mut730,mut734,mut735,mut744,mut747,mut750,mut751,mut752,mut761
3	ROOT	mut1,mut10,mut11,mut13,mut16,mut21,mut27,mut39,mut42,mut47,mut49,mut51,mut59,mut61,mut77,mut78,mut90,mut104,mut106,mut107,mut108,mut109,mut131,mut133,mut135,mut137,mut139,mut140,mut141,mut142,mut151,mut155,mut159,mut162,mut163,mut167,mut175,mut183,mut190,mut195,mut196,mut197,mut206,mut208,mut213,mut214,mut219,mut224,mut226,mut228,mut230,mut231,mut238,mut239,mut253,mut271,mut286,mut297,mut298,mut299,mut321,mut324,mut333,mut334,mut340,mut341,mut346,mut355,mut371,mut384,mut389,mut397,mut400,mut403,mut415,mut416,mut419,mut429,mut437,mut456,mut461,mut462,mut466,mut473,mut474,mut485,mut487,mut488,mut491,mut493,mut499,mut504,mut506,mut507,mut511,mut516,mut528,mut533,mut535,mut543,mut558,mut573,mut580,mut584,mut592,mut593,mut596,mut600,mut601,mut610,mut616,mut618,mut626,mut629,mut631,mut639,mut642,mut645,mut652,mut680,mut681,mut683,mut685,mut699,mut700,mut702,mut706,mut712,mut714,mut725,mut726,mut728,mut738,mut741,mut742,mut748,mut754,mut757,mut762,mut764
9	3	mut218,mut222,mut262,mut319,mut325,mut345,mut500,mut542,mut604
5	2	mut34,mut53,mut57,mut62,mut75,mut88,mut114,mut158,mut187,mut285,mut296,mut339,mut354,mut376,mut379,mut417,mut435,mut470,mut497,mut502,mut505,mut520,mut556,mut577,mut609,mut640,mut655,mut668,mut679,mut691,mut749,mut756
