node_id	parent_id	labels
1	ROOT	mut0,mut2,mut4,mut5,mut8,mut15,mut17,mut23,mut25,mut35,mut43,mut48,mut55,mut58,mut65,mut66,mut68,mut69,mut70,mut74,mut79,mut80,mut85,mut87,mut93,mut96,mut97,mut98,mut101,mut102,mut103,mut122,mut123,mut126,mut127,mut136,mut145,mut146,mut147,mut149,mut160,mut169,mut171,mut173,mut174,mut176,mut177,mut182,mut188,mut198,mut200,mut202,mut207,mut211,mut212,mut215,mut216,mut217,mut232,mut241,mut244,mut245,mut250,mut252,mut254,mut255,mut256,mut257,mut258,mut259,mut263,mut264,mut267,mut276,mut278,mut279,mut281,mut292,mut294,mut295,mut303,mut304,mut310,mut313,mut320,mut323,mut332,mut338,mut342,mut344,mut347,mut356,mut357,mut358,mut367,mut372,mut374,mut375,mut381,mut385,mut386,mut388,mut393,mut395,mut396,mut398,mut399,mut404,mut405,mut406,mut408,mut411,mut412,mut418,mut425,mut427,mut431,mut433,mut434,mut436,mut438,mut439,mut440,mut441,mut447,mut448,mut449,mut452,mut453,mut455,mut457,mut460,mut472,mut475,mut482,mut484,mut486,mut489,mut495,mut496,mut498,mut503,mut509,mut514,mut517,mut518,mut519,mut521,mut524,mut527,mut531,mut532,mut536,mut537,mut547,mut548,mut553,mut559,mut575,mut576,mut579,mut588,mut590,mut591,mut594,mut598,mut599,mut605,mut611,mut614,mut617,mut620,mut625,mut632,mut635,mut646,mut649,mut653,mut665,mut670,mut672,mut673,mut674,mut676,mut682,mut687,mut689,mut694,mut695,mut698,mut704,mut715,mut716,mut717,mut718,mut721,mut722,mut723,mut724,mut731,mut732,mut733,mut736,mut737,mut739,mut740,mut745,mut758,mut763
2	1	mut7,mut9,mut12,mut20,mut26,mut28,mut29,mut31,mut32,mut36,mut37,mut38,mut40,mut41,mut44,mut45,mut52,mut60,mut64,mut73,mut76,mut82,mut84,mut89,mut92,mut95,mut99,mut105,mut110,mut113,mut115,mut117,mut119,mut121,mut124,mut128,mut130,mut144,mut148,mut150,mut152,mut156,mut157,mut161,mut164,mut165,mut170,mut180,mut181,mut186,mut189,mut191,mut192,mut193,mut194,mut204,mut205,mut209,mut210,mut220,mut225,mut227,mut233,mut235,mut236,mut240,mut242,mut248,mut249,mut260,mut261,mut265,mut270,mut272,mut275,mut282,mut284,mut287,mut293,mut300,mut305,mut311,mut314,mut315,mut317,mut318,mut322,mut326,mut327,mut329,mut330,mut331,mut337,mut343,mut348,mut351,mut352,mut353,mut361,mut362,mut364,mut366,mut368,mut370,mut373,mut387,mut391,mut394,mut401,mut402,mut409,mut420,mut421,mut422,mut423,mut424,mut426,mut428,mut430,mut442,mut446,mut454,mut459,mut464,mut467,mut468,mut469,mut471,mut476,mut477,mut478,mut479,mut480,mut483,mut490,mut492,mut494,mut508,mut512,mut526,mut541,mut544,mut549,mut551,mut552,mut564,mut565,mut566,mut567,mut569,mut570,mut571,mut574,mut581,mut582,mut583,mut585,mut586,mut589,mut602,mut607,mut608,mut612,mut613,mut615,mut619,mut621,mut622,mut624,mut627,mut628,mut630,mut634,mut644,mut647,mut658,mut661,mut662,mut663,mut664,mut667,mut669,mut671,mut675,mut678,mut684,mut686,mut690,mut692,mut693,mut696,mut701,mut703,mut707,mut709,mut710,mut719,mut730,mut734,mut735,mut744,mut747,mut750,mut751,mut752,mut761
11	1	mut22,mut81,mut111,mut172,mut390,mut445,mut560,mut572,mut606
7	11	mut3,mut24,mut30,mut54,mut67,mut91,mut120,mut132,mut138,mut153,mut154,mut168,mut203,mut223,mut246,mut268,mut274,mut277,mut302,mut359,mut382,mut540,mut557,mut568,mut623,mut636,mut638,mut641,mut677,mut708,mut743
5	2	mut34,mut53,mut57,mut62,mut75,mut88,mut114,mut158,mut187,mut285,mut296,mut339,mut354,mut376,mut379,mut417,mut435,mut470,mut497,mut502,mut505,mut520,mut556,mut577,mut609,mut640,mut655,mut668,mut679,mut691,mut749,mut756
8	1	mut14,mut33,mut72,mut94,mut112,mut229,mut266,mut269,mut273,mut280,mut289,mut307,mut363,mut377,mut383,mut444,mut510,mut539,mut578,mut651,mut666,mut688,mut705,mut713
