node_id	parent_id	mutations
ROOT	ROOT	
1	ROOT	mut1,mut2,mut3,mut4,mut13,mut15,mut17,mut19,mut21,mut24,mut25,mut27,mut29,mut30,mut31,mut32,mut35,mut36,mut37,mut43,mut48,mut51,mut52,mut54,mut55,mut56,mut61,mut63,mut64,mut65,mut67,mut69,mut71,mut75,mut79,mut81,mut84,mut88,mut89,mut91,mut93,mut96,mut100,mut104,mut105,mut106,mut107,mut113,mut116,mut120,mut137,mut140,mut143,mut148,mut151,mut152,mut155,mut157,mut158,mut159,mut161,mut163,mut164,mut167,mut169,mut170,mut173,mut180,mut181,mut184,mut185,mut187,mut188,mut196,mut206,mut209,mut211,mut213,mut214,mut218,mut219,mut220,mut223,mut226,mut230,mut233,mut235,mut238,mut241,mut242,mut247,mut251,mut254,mut258,mut261,mut262,mut265,mut268,mut271,mut272,mut273,mut277,mut279,mut280,mut282,mut285,mut288,mut289
2	1	mut5,mut7,mut10,mut11,mut14,mut26,mut34,mut38,mut42,mut47,mut49,mut50,mut58,mut74,mut80,mut82,mut85,mut92,mut95,mut101,mut102,mut110,mut117,mut121,mut122,mut123,mut125,mut132,mut133,mut141,mut153,mut156,mut160,mut172,mut177,mut191,mut192,mut195,mut207,mut208,mut212,mut216,mut217,mut227,mut228,mut240,mut243,mut245,mut250,mut252,mut255,mut259,mut263,mut264,mut274,mut276,mut281,mut284,mut287
3	ROOT	mut9,mut12,mut28,mut46,mut53,mut57,mut59,mut60,mut66,mut72,mut77,mut78,mut87,mut90,mut98,mut108,mut112,mut119,mut124,mut127,mut128,mut130,mut135,mut149,mut150,mut165,mut166,mut168,mut175,mut178,mut186,mut190,mut193,mut197,mut199,mut201,mut203,mut205,mut210,mut215,mut221,mut224,mut225,mut229,mut234,mut236,mut237,mut239,mut244,mut248,mut257,mut260,mut267,mut275,mut278,mut286
4	1	mut18,mut33,mut39,mut40,mut44,mut70,mut76,mut83,mut99,mut103,mut114,mut115,mut118,mut126,mut129,mut139,mut142,mut145,mut147,mut162,mut174,mut176,mut179,mut183,mut189,mut200,mut222,mut232,mut256,mut266,mut270,mut283,mut290
5	3	mut41,mut86,mut94,mut97,mut109,mut111,mut131,mut134,mut136,mut154,mut171,mut198,mut231,mut253,mut269
6	1	mut6,mut16,mut20,mut22,mut23,mut45,mut62,mut73,mut138,mut144,mut146,mut202,mut246
7	1	mut0,mut8,mut68,mut182,mut194,mut204,mut249
