node_id	parent_id	labels
2	ROOT	mut5,mut6,mut11,mut12,mut13,mut15,mut16,mut24,mut27,mut30,mut31,mut34,mut35,mut36,mut39,mut41,mut42,mut48,mut50,mut54,mut58,mut61,mut64,mut67,mut71,mut75,mut77,mut79,mut80,mut85,mut90,mut92,mut97,mut104,mut110,mut112,mut119,mut122,mut123,mut124,mut134,mut135,mut136,mut144,mut148,mut149,mut151,mut156,mut157,mut160,mut163,mut173,mut177,mut178,mut179,mut187,mut188,mut197,mut198,mut200,mut202,mut204,mut205,mut207,mut215,mut216,mut217,mut219,mut221,mut222,mut224,mut227,mut228,mut236,mut237,mut240,mut248,mut253,mut254,mut255,mut257,mut258,mut259,mut261,mut262,mut264,mut265,mut272,mut281,mut282,mut296,mut297,mut299,mut300,mut302,mut305,mut311,mut316,mut318,mut319,mut321,mut324,mut326,mut334,mut335,mut336,mut338,mut340,mut341,mut342,mut349,mut357,mut358,mut370,mut374,mut377,mut379,mut383,mut384,mut387,mut388,mut389,mut390,mut394,mut400,mut402,mut403,mut406,mut407,mut408,mut413,mut416,mut422,mut425,mut426,mut433,mut441,mut448,mut450,mut456,mut457,mut465,mut470,mut473,mut478,mut484,mut486,mut489,mut490,mut491,mut493,mut496,mut509,mut512,mut517,mut531,mut533,mut534,mut537,mut539,mut541,mut543,mut547,mut548,mut551,mut558,mut559,mut561,mut563,mut565,mut569,mut571,mut573,mut574,mut575,mut576,mut577,mut582,mut583,mut586,mut588,mut594,mut597,mut599,mut600,mut611,mut613,mut614,mut615,mut616,mut617,mut620,mut623,mut626,mut627,mut628,mut631,mut632,mut641,mut643,mut651,mut656,mut657,mut658,mut660,mut661,mut664,mut668,mut671,mut673,mut674,mut679,mut680,mut682,mut689,mut691,mut695,mut696,mut697,mut699,mut700,mut701,mut702,mut707,mut716
3	2	mut28,mut60,mut95,mut120,mut121,mut129,mut140,mut161,mut168,mut169,mut182,mut183,mut184,mut185,mut186,mut196,mut203,mut212,mut220,mut223,mut286,mut291,mut301,mut306,mut309,mut310,mut320,mut322,mut325,mut339,mut345,mut350,mut360,mut362,mut363,mut368,mut380,mut399,mut401,mut404,mut427,mut428,mut435,mut466,mut472,mut475,mut477,mut480,mut488,mut549,mut562,mut567,mut580,mut590,mut591,mut596,mut612,mut647,mut655,mut663,mut675,mut686,mut708,mut715
13	3	mut105,mut137,mut194,mut226,mut293,mut495,mut584,mut670,mut681
14	3	mut18,mut55,mut126,mut328,mut332,mut436,mut572,mut711
5	14	mut33,mut62,mut164,mut172,mut175,mut233,mut239,mut263,mut267,mut398,mut421,mut446,mut452,mut487,mut506,mut536,mut555,mut604,mut606,mut618,mut635,mut644
19	3	mut7,mut365,mut366,mut381,mut460,mut513,mut669
26	2	mut103,mut106,mut208,mut343,mut378,mut451
9	26	mut78,mut102,mut109,mut158,mut174,mut181,mut195,mut284,mut375,mut449,mut459,mut499,mut550,mut629,mut676
