node_id	parent_id	labels
1	ROOT	mut2,mut3,mut5,mut8,mut9,mut10,mut11,mut12,mut15,mut17,mut18,mut19,mut21,mut22,mut23,mut24,mut27,mut28,mut29,mut30,mut31,mut32,mut33,mut36,mut39,mut40,mut41,mut42,mut43,mut45,mut46,mut47,mut48,mut49,mut51,mut52,mut53,mut54,mut55,mut58,mut59,mut60,mut61,mut62,mut63,mut65,mut66,mut67,mut68,mut70,mut71,mut72,mut73,mut74,mut75,mut76,mut78,mut79,mut82,mut83,mut84,mut85,mut86,mut88,mut89,mut90,mut91,mut92,mut93,mut94,mut95,mut96,mut97,mut98,mut99,mut100,mut101,mut103,mut104,mut105,mut107,mut108,mut109,mut110,mut111,mut112,mut113,mut114,mut115,mut116,mut117,mut118,mut119,mut121,mut122,mut123,mut124,mut125,mut127,mut128,mut129,mut130,mut133,mut134,mut135,mut136,mut137,mut138,mut139,mut140,mut141,mut142,mut143,mut144,mut145,mut146,mut147,mut148,mut149,mut150,mut152,mut153,mut154,mut155,mut156,mut157,mut159,mut161,mut162,mut163,mut164,mut165,mut167,mut168,mut169,mut170,mut171,mut172,mut173,mut174,mut175,mut179,mut182,mut183,mut184,mut186,mut187,mut188,mut189,mut190,mut193,mut195,mut196,mut197,mut199,mut200,mut201,mut202,mut203,mut204,mut205,mut206,mut207,mut209,mut210,mut212,mut213,mut214,mut216,mut217,mut218,mut219,mut221,mut224,mut225,mut226,mut227,mut228,mut229,mut230,mut233,mut235,mut236,mut238,mut240,mut243,mut244,mut245,mut246,mut247,mut248,mut249,mut251,mut252,mut253,mut254,mut257,mut259,mut260,mut261,mut262,mut263,mut264,mut265,mut266,mut267,mut269,mut270,mut272,mut274,mut275,mut277,mut279,mut280,mut281,mut282,mut283,mut285,mut287,mut289,mut291,mut292,mut293,mut295,mut297,mut298,mut304,mut306,mut307,mut308,mut309,mut310,mut311,mut312,mut313,mut314,mut315,mut318,mut319,mut320,mut321,mut322,mut323,mut325,mut326,mut327,mut328,mut329,mut330,mut332,mut333,mut335,mut336,mut337,mut340,mut341,mut342,mut343,mut344,mut345,mut346,mut347,mut348,mut351,mut352,mut354,mut355,mut356,mut357,mut358,mut359,mut360,mut362,mut364,mut365,mut367,mut368,mut369,mut370,mut371,mut372,mut374,mut376,mut377,mut378,mut382,mut383,mut385,mut386,mut387,mut389,mut391,mut392,mut393,mut395,mut396,mut397,mut398,mut399,mut405,mut406,mut407,mut408,mut409,mut410,mut414,mut416,mut417,mut419,mut420,mut421,mut422,mut424,mut425,mut427,mut428,mut429,mut430,mut432,mut433,mut434,mut436,mut437,mut438,mut439,mut441,mut443,mut445,mut446,mut447,mut448,mut449,mut450,mut451,mut452,mut455,mut456,mut458,mut459,mut460,mut462,mut465,mut466,mut467,mut469,mut470,mut471,mut472,mut473,mut474,mut475,mut481,mut484,mut485,mut487,mut488,mut490,mut493,mut494,mut496,mut497,mut498,mut499,mut504,mut505,mut506,mut508,mut509,mut510,mut511,mut512,mut513,mut517,mut518,mut519,mut520,mut521
3	1	mut6,mut7,mut20,mut25,mut34,mut37,mut38,mut50,mut69,mut77,mut87,mut102,mut106,mut132,mut151,mut160,mut176,mut178,mut181,mut211,mut237,mut241,mut242,mut271,mut278,mut286,mut290,mut294,mut299,mut302,mut305,mut316,mut317,mut324,mut331,mut339,mut350,mut353,mut361,mut363,mut366,mut379,mut381,mut384,mut404,mut411,mut413,mut418,mut426,mut431,mut440,mut461,mut464,mut468,mut476,mut480,mut489,mut491
6	1	mut1,mut26,mut44,mut158,mut166,mut180,mut220,mut231,mut268,mut300,mut415,mut477,mut478,mut495,mut514
7	3	mut56,mut57,mut131,mut192,mut194,mut273,mut338,mut349,mut442,mut454,mut463,mut503
11	1	mut303,mut380,mut390,mut402,mut423,mut435,mut486
