node_id	parent_id	labels
1	ROOT	mut0,mut2,mut7,mut8,mut9,mut10,mut13,mut16,mut20,mut21,mut22,mut24,mut25,mut26,mut27,mut30,mut32,mut33,mut35,mut39,mut40,mut41,mut44,mut48,mut50,mut56,mut57,mut60,mut64,mut65,mut66,mut72,mut73,mut76,mut77,mut80,mut81,mut82,mut85,mut86,mut88,mut89,mut90,mut91,mut95,mut96,mut98,mut99,mut100,mut101,mut102,mut103,mut105,mut106,mut109,mut110,mut113,mut114,mut115,mut116,mut117,mut120,mut124,mut125,mut127,mut131,mut132,mut133,mut137,mut138,mut141,mut144,mut146,mut148,mut150,mut153,mut154,mut155,mut158,mut160,mut168,mut169,mut171,mut175,mut176,mut177,mut179,mut182,mut183,mut184,mut185,mut187,mut188,mut189,mut191,mut192,mut194,mut195,mut196,mut199,mut201,mut203,mut204,mut205,mut207,mut212,mut213,mut214,mut217,mut219,mut220,mut224
4	1	mut3,mut63,mut78,mut93,mut107,mut112,mut123,mut128,mut140,mut149,mut151,mut161,mut180,mut208,mut210,mut218,mut223
9	1	mut1,mut139,mut142,mut165,mut200
