node_id	parent_id	labels
10	ROOT	mut10,mut27,mut32,mut48,mut72,mut82,mut99,mut161,mut190,mut209,mut210,mut248
12	ROOT	mut1,mut61,mut68,mut75,mut124,mut145,mut192,mut225,mut269
17	ROOT	mut21,mut135,mut148,mut158,mut176,mut222
11	17	mut38,mut73,mut81,mut83,mut100,mut109,mut160,mut197,mut224,mut253,mut257
16	11	mut67,mut94,mut112,mut139,mut146,mut215,mut268
1	ROOT	mut11,mut16,mut20,mut26,mut33,mut34,mut35,mut39,mut44,mut55,mut56,mut57,mut63,mut70,mut76,mut77,mut79,mut91,mut92,mut98,mut101,mut103,mut105,mut119,mut133,mut140,mut153,mut155,mut157,mut167,mut171,mut173,mut174,mut179,mut184,mut186,mut189,mut191,mut193,mut196,mut204,mut205,mut216,mut217,mut228,mut231,mut234,mut247,mut249,mut250,mut259,mut261,mut271,mut272,mut275,mut279
3	10	mut12,mut13,mut24,mut28,mut41,mut42,mut45,mut74,mut93,mut96,mut102,mut106,mut144,mut150,mut152,mut162,mut175,mut178,mut188,mut206,mut230,mut239,mut243,mut276,mut283
5	ROOT	mut23,mut53,mut89,mut108,mut117,mut118,mut122,mut125,mut134,mut137,mut142,mut143,mut147,mut154,mut165,mut172,mut202,mut232,mut236,mut241,mut281
13	12	mut19,mut156,mut198,mut199,mut211,mut212,mut221,mut274
15	ROOT	mut4,mut17,mut47,mut129,mut130,mut201,mut282
19	ROOT	mut15,mut107,mut168,mut200,mut227
