node_id	parent_id	labels
2	ROOT	mut6,mut19,mut37,mut46,mut48,mut49,mut51,mut67,mut69,mut82,mut83,mut84,mut92,mut103,mut104,mut108,mut111,mut114,mut123,mut131,mut133,mut136,mut144,mut145,mut185,mut186,mut189,mut198,mut202,mut208,mut213,mut224,mut255,mut256,mut257,mut282,mut298,mut299,mut308,mut312,mut324,mut332
1	2	mut1,mut4,mut8,mut9,mut15,mut16,mut18,mut25,mut28,mut33,mut52,mut54,mut56,mut62,mut63,mut64,mut66,mut74,mut75,mut77,mut78,mut79,mut80,mut87,mut88,mut89,mut99,mut106,mut112,mut128,mut130,mut141,mut142,mut147,mut149,mut157,mut166,mut167,mut168,mut169,mut170,mut171,mut174,mut175,mut176,mut180,mut183,mut184,mut196,mut201,mut204,mut207,mut209,mut210,mut211,mut212,mut219,mut221,mut228,mut231,mut237,mut238,mut245,mut246,mut247,mut248,mut249,mut252,mut254,mut258,mut259,mut260,mut261,mut262,mut265,mut276,mut285,mut291,mut301,mut306,mut315,mut316,mut317,mut318,mut323,mut325,mut334
9	2	mut3,mut13,mut17,mut73,mut102,mut119,mut177,mut195,mut220,mut230,mut253,mut283,mut284,mut314,mut320,mut327
12	9	mut22,mut30,mut42,mut58,mut81,mut125,mut132,mut187,mut226,mut292,mut331
3	9	mut21,mut24,mut34,mut35,mut41,mut43,mut72,mut85,mut95,mut105,mut107,mut129,mut139,mut151,mut161,mut178,mut214,mut215,mut232,mut233,mut268,mut278,mut287,mut302,mut319,mut336
6	2	mut7,mut29,mut53,mut59,mut93,mut116,mut117,mut173,mut181,mut188,mut206,mut225,mut240,mut263,mut266,mut274,mut304,mut307,mut311
